Timestamp (s),Position (mm),Force (N),Torque,Stage
1539655355.72668,-0.7015,15.473799576000001,7465,1
1539655355.7590709,-0.7014,15.473799576000001,7463,1
1539655355.7908852,-0.7013,15.516284724000004,7461,1
1539655355.822581,-0.7012,15.473799576000001,7457,1
1539655355.854614,-0.7011,15.431314428000004,7457,1
1539655355.8867059,-0.7011,15.516284724000004,7455,1
1539655355.918905,-0.701,15.516284724000004,7455,1
1539655355.9508522,-0.701,15.431314428000004,7455,1
1539655355.9827042,-0.701,15.431314428000004,7455,1
1539655356.0148768,-0.7009,15.473799576000001,7453,1
1539655356.046735,-0.7009,15.431314428000004,7453,1
1539655356.0788212,-0.7009,15.431314428000004,7453,1
1539655356.110942,-0.7008,15.388829280000001,7451,1
1539655356.14332,-0.7008,15.388829280000001,7451,1
1539655356.175238,-0.7008,15.388829280000001,7451,1
1539655356.207104,-0.7007,15.431314428000004,7449,1
1539655356.2395399,-0.7007,15.431314428000004,7449,1
1539655356.271014,-0.7007,15.473799576000001,7449,1
1539655356.3028321,-0.7007,15.431314428000004,7449,1
1539655356.335001,-0.7007,15.473799576000001,7449,1
1539655356.366997,-0.7007,15.346344132,7449,1
1539655356.398987,-0.7006,15.388829280000001,7447,1
1539655356.4313338,-0.7006,15.473799576000001,7447,1
1539655356.4630852,-0.7005,15.388829280000001,7445,1
1539655356.495317,-0.7005,15.431314428000004,7445,1
1539655356.527064,-0.7004,15.346344132,7443,1
1539655356.559186,-0.7004,15.388829280000001,7443,1
1539655356.590912,-0.7004,15.346344132,7443,1
1539655356.6232362,-0.7004,15.346344132,7443,1
1539655356.655311,-0.7003,15.346344132,7441,1
1539655356.687386,-0.7003,15.473799576000001,7441,1
1539655356.719532,-0.7002,15.431314428000004,7439,1
1539655356.7513332,-0.7001,15.431314428000004,7437,1
1539655356.783245,-0.7001,15.431314428000004,7437,1
1539655356.815446,-0.7,15.431314428000004,7435,1
1539655356.8475342,-0.7,15.346344132,7435,1
1539655356.8790982,-0.7,15.431314428000004,7433,1
1539655356.911134,-0.6999,15.346344132,7433,1
1539655356.943297,-0.6998,15.431314428000004,7431,1
1539655356.976532,-0.6997,15.303858984000001,7429,1
1539655357.00734,-0.6997,15.388829280000001,7429,1
1539655357.0395021,-0.6996,15.346344132,7427,1
1539655357.07202,-0.6995,15.346344132,7425,1
1539655357.103411,-0.6994,15.388829280000001,7423,1
1539655357.135791,-0.6994,15.388829280000001,7423,1
1539655357.167538,-0.6994,15.346344132,7423,1
1539655357.199883,-0.6994,15.346344132,7423,1
1539655357.231606,-0.6994,15.303858984000001,7421,1
1539655357.263377,-0.6993,15.388829280000001,7421,1
1539655357.295606,-0.6993,15.346344132,7421,1
1539655357.327753,-0.6993,15.346344132,7421,1
1539655357.359539,-0.6993,15.431314428000004,7421,1
1539655357.3917508,-0.6993,15.303858984000001,7421,1
1539655357.423743,-0.6993,15.346344132,7421,1
1539655357.455619,-0.6993,15.388829280000001,7421,1
1539655357.4876359,-0.6992,15.303858984000001,7419,1
1539655357.519784,-0.6992,15.388829280000001,7419,1
1539655357.551662,-0.6992,15.303858984000001,7419,1
1539655357.583827,-0.6991,15.431314428000004,7417,1
1539655357.615911,-0.6991,15.303858984000001,7417,1
1539655357.647715,-0.6991,15.303858984000001,7417,1
1539655357.6798878,-0.6991,15.346344132,7417,1
1539655357.711761,-0.6991,15.303858984000001,7417,1
1539655357.74369,-0.6991,15.388829280000001,7415,1
1539655357.775863,-0.699,15.261373836,7415,1
1539655357.807777,-0.699,15.388829280000001,7415,1
1539655357.8399758,-0.699,15.388829280000001,7415,1
1539655357.8721092,-0.699,15.303858984000001,7415,1
1539655357.9042408,-0.6989,15.303858984000001,7413,1
1539655357.935981,-0.6989,15.346344132,7413,1
1539655357.9680262,-0.6988,15.303858984000001,7411,1
1539655358.0003042,-0.6988,15.303858984000001,7411,1
1539655358.031895,-0.6988,15.388829280000001,7411,1
1539655358.063817,-0.6987,15.388829280000001,7409,1
1539655358.096082,-0.6987,15.346344132,7409,1
1539655358.128045,-0.6986,15.261373836,7407,1
1539655358.160128,-0.6986,15.261373836,7407,1
1539655358.1921148,-0.6986,15.303858984000001,7407,1
1539655358.224184,-0.6986,15.346344132,7407,1
1539655358.256137,-0.6985,15.346344132,7405,1
1539655358.2880409,-0.6985,15.346344132,7405,1
1539655358.320162,-0.6984,15.303858984000001,7403,1
1539655358.3522491,-0.6984,15.303858984000001,7403,1
1539655358.384309,-0.6983,15.303858984000001,7401,1
1539655358.41647,-0.6983,15.303858984000001,7401,1
1539655358.448384,-0.6982,15.303858984000001,7399,1
1539655358.480403,-0.6982,15.303858984000001,7399,1
1539655358.51233,-0.6982,15.261373836,7399,1
1539655358.544161,-0.6982,15.303858984000001,7397,1
1539655358.576231,-0.6981,15.261373836,7397,1
1539655358.608299,-0.6981,15.303858984000001,7395,1
1539655358.6402571,-0.698,15.261373836,7395,1
1539655358.672249,-0.6979,15.303858984000001,7393,1
1539655358.704232,-0.6979,15.388829280000001,7393,1
1539655358.7364118,-0.6979,15.388829280000001,7393,1
1539655358.768468,-0.6979,15.303858984000001,7393,1
1539655358.8002508,-0.6978,15.346344132,7391,1
1539655358.832386,-0.6978,15.261373836,7391,1
1539655358.864558,-0.6978,15.261373836,7391,1
1539655358.896359,-0.6978,15.303858984000001,7391,1
1539655358.928722,-0.6978,15.303858984000001,7391,1
1539655358.960703,-0.6978,15.303858984000001,7391,1
1539655358.992393,-0.6978,15.261373836,7391,1
1539655359.0246952,-0.6977,15.303858984000001,7389,1
1539655359.056818,-0.6977,15.261373836,7389,1
1539655359.0883899,-0.6977,15.261373836,7389,1
1539655359.120665,-0.6977,15.261373836,7389,1
1539655359.152639,-0.6977,15.303858984000001,7389,1
1539655359.184448,-0.6977,15.261373836,7389,1
1539655359.216725,-0.6977,15.261373836,7389,1
1539655359.2486598,-0.6976,15.261373836,7387,1
1539655359.280629,-0.6976,15.261373836,7387,1
1539655359.312688,-0.6976,15.261373836,7387,1
1539655359.344738,-0.6976,15.303858984000001,7387,1
1539655359.3767412,-0.6976,15.261373836,7387,1
1539655359.408876,-0.6976,15.303858984000001,7387,1
1539655359.4407601,-0.6975,15.261373836,7385,1
1539655359.472766,-0.6975,15.303858984000001,7385,1
1539655359.504902,-0.6975,15.261373836,7385,1
1539655359.537128,-0.6975,15.261373836,7385,1
1539655359.568884,-0.6975,15.261373836,7385,1
1539655359.600957,-0.6975,15.303858984000001,7385,1
1539655359.633019,-0.6975,15.261373836,7385,1
